NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,경기도 성남시 분당구 정자동,4*,25m미만,50,월세,202507,5,"8,000",50,1994,백현로144번길,-,-,-,,,단독다가구
2,경기도 수원시 팔달구 우만동,5*,8m미만,20,전세,202507,5,"6,000",0,2002,월드컵로211번길,-,-,-,,,단독다가구
3,경기도 수원시 팔달구 인계동,1***,8m미만,21,월세,202507,5,500,49,2014,세지로152번길,-,-,-,,,단독다가구
4,경기도 성남시 수정구 태평동,3***,8m미만,25,월세,202507,5,"1,000",45,1989,수정북로19번길,-,-,-,,,단독다가구
5,경기도 오산시 내삼미동,8**,12m미만,55,전세,202507,5,"13,000",0,2014,수청로,-,-,-,,,단독다가구
6,경상남도 창원시 의창구 팔용동,1**,8m미만,26,월세,202507,5,300,30,2012,의창대로132번길,-,-,-,,,단독다가구
7,경기도 고양시 일산동구 정발산동,1***,8m미만,105,전세,202507,5,"18,000",0,1995,산두로201번길,-,-,-,,,단독다가구
8,경상남도 창원시 성산구 사파동,1**,12m미만,42,월세,202507,4,"1,000",30,1991,창이대로692번길,202507~202707,신규,-,,,단독다가구
9,충청북도 청주시 흥덕구 복대동,1***,8m미만,241.23,월세,202507,4,"2,000",15,1992,풍산로169번길,202507~202607,신규,-,,,단독다가구
10,경상북도 포항시 북구 상원동,4**,12m미만,39,월세,202507,4,300,38,2009,중앙로308번길,202507~202607,신규,-,,,단독다가구
11,경기도 수원시 영통구 매탄동,8**,8m미만,19,월세,202507,4,300,27,2001,매탄로160번길,202507~202607,신규,-,,,단독다가구
12,경기도 수원시 영통구 매탄동,1***,12m미만,18,전세,202507,4,"4,000",0,2002,매탄로140번길,-,-,-,,,단독다가구
13,경기도 성남시 중원구 성남동,2***,8m미만,62.3,월세,202507,4,"6,000",50,2002,광명로134번길,202507~202707,갱신,-,"6,000",50,단독다가구
14,경기도 성남시 중원구 성남동,3***,8m미만,34,전세,202507,4,"8,000",0,1987,원터로75번길,202510~202710,신규,-,,,단독다가구
15,부산광역시 기장군 기장읍 교리,3**,12m미만,72,월세,202507,4,500,60,2018,차성로404번길,202508~202608,신규,-,,,단독다가구
16,경상남도 창원시 의창구 도계동,4**,12m미만,130.29,전세,202507,4,"13,000",0,1996,태복산로13번길,202508~202708,신규,-,,,단독다가구
