plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
공공기관 맞춤형 취업지원사업,울산경남 지역 공공기관의 울산 청년 기업기회 확대를 위해 공공기관 취업을 준비하는 청년들의 맞춤형 교육 지원,"○ 사업기간 : '25. 3. ~ 12.

○ 지원대상 : 울산 거주 미취업 청년

○ 지원인원 : 50명

○ 지원내용 : 공공기관 취업을 위한 맞춤형 패키지 교육

○ 수행기관 : 울산경제일자리진흥원",,,19,39,일자리,취업
마을기업 육성사업,지역주민이 각종 지역자원을 활용한 수익사업을 통해 소득 및 일자리를 창출 등 지역문제를 해결,"마을기업 직접지원(1~3차) 및 기획전, 품평회 등 간접지원
",20250704 ~ 20301231,,0,0,일자리,창업
산림산업 현장 맞춤형 인재양성(R&D),"기업, 협단체 등 현장에서 필요한 기술을 대학 등이 타 기관과 공동으로 거버넌스를 구성하여 현장 연구사업과 교육 프로그램을 병행하여 산업계에 맞춤형 인력을 배출하는 산림청 출연 R&D 세부사업임. 산림청 고유 임무인 6가지(조림, 산불, 산사태, 병해충, 목재, 단기소득임산물) 과제에 지원","1. 조림: 지능형 적지적수, 기후변화 대응 숲가꾸기 기술개발 등
2. 산불: 산불행동예측 향상 및 AI 기반 산불 대응 기술개발 등
3. 산사태: 물리기반 산사태 위험도 모델개발 및 피해저감 시스템 개발 등
4. 병해충: 원격탐사 기술 기반 병해충 감영목 탐지기술 및 효율적 방제기술 개발
5. 목재: 한국형 건축구조재 개발 및 OSC 양산 프로세스 구축/테스트 기반 통합 실증 
6. 단기소득임산물: 고품질 단기소득임산물 생산, 표준화 기술개발 및 주요 임산물 기능성 분석",20240205 ~ 20240222,,18,30,교육,미래역량강화
디지털정부 Young Frontier 교육,"한국의 디지털정부, ICT 기본소양, 국제개발협력 등을 함양하여 국내외에 홍보, 전수할 수 있는 미래 해외진출 디지털정부 전문가 양성","디지털 정부의 성과 및 체계를 학습
AI의 최신 동향 및 활용교육을 통해 교육생의 실무활용 능력과 AI 기반 문제해결 역량 강화
디지털정부 분야 개발협력 전문가로의 진로탐색과 역량 개발 지원",20250703 ~ 20250722,https://www.nia.or.kr/site/nia_kor/ex/bbs/View.do?cbIdx=99835&bcIdx=28298&parentSeq=28298,19,34,교육,미래역량강화
광주청년 일경험드림 제18기,지역의 미취업 청년들이 다양한 일경험을 통해 진로와 직업 비전을 찾을 수 있도록 지원,"매칭된 사업장에서 일경험 지원 및 근로에 따른 급여*지급, 직무교육과 연계활동 지원

① 자기주도형 : 5개월(주 25시간 월 131시간)
- 직무 탐색과 자기 계발을 병행하여 개인의 성장 가능성을 확장하는 트랙
- 참여기간 : 08. 01. ~ 12. 31.

② 집중참여형 : 3개월(주 40시간 월 209시간)
- 심화된 직무를 경험하며 실무 역량을 강화하는 트랙
- 참여기간 : 08. 01. ~ 12. 31.

※ 급여 : 2025년 광주광역시 생활임금 12,930원 적용
※※ 희망 사업장의 모집 트랙유형에 따라 복수지원 가능",20250701 ~ 20250716,http://gjyouthdream.com,19,39,일자리,취업
청년 신혼부부 주거자금 대출이자 지원사업,청년 신혼부부의 주거비 부담 완화로 안정적 지역 정착을 도모하고 저출생 극복에 기여,"   (기  본) 주민등록상 세대구성원 모두 혼인 신고일로부터 신청일까지
   ·전세자금의 경우: 전국기준 주택을 소유한 이력이 없는 가구
   ·매입자금의 경우: 주거자금 대상 1주택만을 소유한 이력이 있는 가구
   (거  주) 신혼부부가 모두 지원공고일 이전부터 충주시에 주소를 두고
           있으며, 주거자금 대상 주택으로 전입이 되어 있는 가구
   (혼  인) 지원 공고일 이전까지 혼인신고를 마친 혼인 7년 이내 부부
   (연  령) 부부 중 1명 이상은 청년(19 ~ 39세)이어야 함
   (소  득) 부부합산 연소득 기준(전년도 귀속분)
    무자녀 : 8,000만원 이하
    1자녀 : 8,800만원 이하
    2자녀 이상 : 9,800만원 이하
   (주  택) 세대 구성원 모두 전국기준 무주택자, 전용면적 85㎡이하,
    용도 - 아파트, 단독·다가구·다세대 주택, 연립주택, 주거용 오피스텔 등
   ◦ 지원내용: 공고일 전월 대출잔액의 1.5%에 해당하는 금액을 25년도
    이자 납부(예정) 개월 수에 따라 지원(연 100만원 한도/최대 3년)",20250701 ~ 20250731,,19,39,주거,전월세 및 주거급여 지원
청년 1인가구 사회적관계망 형성지원,"가족센터를 중심으로 청년 1인가구의 고독, 고립 등 방지를 위한 사회적 관계망 지원 ","청년 1인가구를 대상으로 고독,고립 예방과 문제 해결을 위한 심리정서 상담 지원, 돌봄지원, 사회적 관계망 지원 및 사례관리 등 추진",,https://familynet.or.kr,0,0,복지문화,취약계층 및 금융지원
국가장학금 Ⅱ유형(대학연계지원형),대학의 적극적인 등록금 부담완화 참여를 도모하기 위해 대학 자체노력과 연계하여 지원하는 장학금,"대학 자체기준에 따라 등록금 필수경비 범위 내에서 지원금액 결정
※ 과소 지급 방지를 위해 최소 10만원 이상 지급을 원칙으로 함",20250523 ~ 20250623,https://www.kosaf.go.kr/ko/main.do,0,0,교육,교육비지원
이주배경청년(청소년)지원,이주배경청(소)년의 사회적응을 위한 교육 등 지원 ,"이주배경청(소)년 진로역량 강화, 심리정서 지원, 다문화감수성 증진 프로그램 운영 등",,https://www.rainbowyouth.or.kr/,8,24,복지문화,취약계층 및 금융지원
학교 밖 청소년 온라인 지원 강화,"비대면, 온라인 환경에 익숙한 청소년을 고려하여, 메타버스 기반 플랫폼인 꿈드림ON을 통해 체계적인 온라인 통합서비스 제공","학교 밖 청소년 대상 온라인 콘텐츠 및 프로그램 개발 및 보급, 메타버스 기반 꿈드림ON운영 및 서비스 제공",,https://1388.go.kr,9,24,"교육,교육","미래역량강화,온라인교육"
