번호,질문,답변
1,보험금의 청구기간은 어떻게 되나요?,"A
보험금 청구권은 3년간 행사하지 아니하면 그 효력이 소멸됩니다. 따라서 3년내에는 반드시 보험사에 통보하셔야 하며 특히 현장보존이 요구되는 재물보험의 경우는 사고발생 후 지체 없이 통보하셔서 보험사의 현장조사를 거쳐야만 불이익을 면할 수 있습니다.(2015년 3월 12일부터 본격 시행)"
2,진단서 발급비용도 보험처리가 가능한가요?,"A
진단서는 보험금 청구시 손해발생을 입증하기 위한 구비서류로 이에 대한 발급비용은 약관상 보상하는 직접적인 치료비용에 해당되지 않으므로 보상이 되지 않습니다. 이에 따라 당사에서는 50만원 미만의 소액청구건에 대해서는 진단서가 아닌 진단명이 확인되는 의료기관 발급서류로 대체가 가능토록하여 고객님의 비용부담을 덜어 드리고 있습니다."
3,"장기보험을 해지하고 싶은데 해지신청은 어떻게 하며, 해지 환급금은 얼마나 될까요?","A
홈페이지에서 해지환급금조회 및 계약해지 서비스가 가능합니다.
단, 홈페이지 이용시 대상계약 및 이용시간에 따라 이용에 제한이 있을 수 있습니다.
자세한 사항은 해당 서비스의 이용안내를 참고하시기 바랍니다.
▶ [장기보험해지] 이용경로 : 로그인 > MY KB > 계약해지/청약철회 > 장기보험계약해지
(계약자 피보험자 동일 계약만 가능)
▶ [해지환급금조회] 이용경로 : 로그인 > MY KB > 계약조회 > 해당계약상세조회 > 하단 more 서비스 > 해지환급금조회
(계약자만 가능)
※ 계약자와 피보험자가 상이한 계약일 경우 이용제한이 있을수 있으니
자세한 사항은 해당 서비스의 이용안내를 참고해 주시기 바랍니다."
4,2년에 한번씩 정기적으로 암검사를 하고 있습니다. 금액은 5만원 안팎인데 이것도 보상이 가능한지요?,"A
실손에서는 질병으로 인하여 자각증상(몸의 이상유무)이 발생되어 의사의 소견하에 암검사를 시행한 경우에는 보상 가능하나, 질병을 원인으로 하지 않는 신체검사, 건강검진비 등의 의미로서의 검사는 해당되지 않습니다. 즉, 건강 검진 비용은 보상되지 않습니다."
5,MRI 등 특수촬영에 든 비용을 보상 받을 수 있나요?,"A
요즘 컴퓨터 단층촬영(CT)이나 자기공명촬영(MRI)과 같은 특수검사기기에 의한 고가의 검사를 하는 경우가 있습니다. 의료보험과 마찬가지로 자동차보험에서도 치료를 담당한 주치의가 치료목적 상 필요하다고 인정해서 촬영의뢰서를 발급한 경우에 한해 해당 검사비를 지급하고 있습니다. 따라서 의사의 지시 없이 피해자나 가족이 원해 촬영하는 경우에는 해당 검사비를 보상 받지 못하는 문제가 발생할 수 있습니다.  또한 이러한 고가의 검사비용은 의료법에 의거 촬영을 시행한 병원과 보험회사간에 정산하는 부분이기 때문에 피해자가 임의로 자비를 들여 촬영하기 전에 의사, 보험회사와 의논하는 것이 바람직합니다."
6,결제카드를 다른 카드로 변경하고 싶어요.,"A
홈페이지에서 장기보험의 카드정보변경/해지가 가능합니다.
단, 계약자 본인 명의의 카드로만 변경이 가능하며, 카드 해지는 계약자와 카드주가 동일한 계약만 가능합니다.
카드 신규 등록은 계약관리지점에 문의하시기 바랍니다.
통신판매를 통해 가입한 고객님은 전담콜센터(☎1544-0115)로,
다이렉트(CM) 홈페이지를 통해 가입한 고객님은 전담콜센터(☎1544-3006)으로 문의해주시기 바랍니다.
▶홈페이지 이용경로 : 로그인 > MY KB > 계약변경  > 카드정보변경/해지"
7,계약자 변경은 어떻게 하나요?,"A
계약자변경은 보험료를 납부는 사람이 변경되고 또한 만기금, 해지금, 보험계약 대출등의
수령권자가 변경되는 중요한 사항이므로 홈페이지나 콜센터를 통한 처리는 불가능하며,
직접 해당지점 또는 가까운 고객센터를 방문하셔야 합니다.
또한 상품에 따라 변경불가하거나 구비서류가 일부 다를 수 있으므로,
계약관리담당자를 통해 문의하시면 보다 상세하고 정확한 안내가 가능합니다."
8,보험계약대출을 받는게 좋을까요? 중도인출을 받는게 좋을까요?,"A
보험계약대출은 대출이므로 사용한 금액에 대한 이자가 매월 발생합니다. 대신 언제든지 상환이 가능하므로 단기간 자금이 필요하신 경우 유용하게 쓰일 수 있습니다. 중도인출은 사용한 금액에 대한 이자는 부과되지 않으나, 나중에 다시 상환할 수 없으므로 만기에 지급받을 환급금이 그만큼 줄어들게 되며 줄어든 환급금에 대한 부리이율 적용을 받지 못합니다.
즉, 보험계약대출 또는 중도인출의 사용여부는 고객님의 사용자금 용도, 상환시기를 고려하셔서 결정하시면 됩니다."
9,보험금의 청구기간은 어떻게 되나요?,"A
보험금 청구권은 3년간 행사하지 아니하면 그 효력이 소멸됩니다. 따라서 3년내에는 반드시 보험사에 통보하셔야 하며 특히 현장보존이 요구되는 재물보험의 경우는 사고발생 후 지체 없이 통보하셔서 보험사의 현장조사를 거쳐야만 불이익을 면할 수 있습니다.(2015년 3월 12일부터 본격 시행)"
10,건강검진비용도 질병의료비로 보상이 가능한가요?,"A
의사의 임상적 소견에 의한 검사비용은 보상해 드립니다. 단, 질병이나 상해소견이 없는 검사나 정기적인 건강검진을 위한 비용은 보상하지 아니합니다."
