name,birth,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP,OPS,FY,LY,AY,URL
강태율,1996,0.123,65,81,3,10,2,0,3,10,0,1,13,25,1.356,1.032,2.388,2016,2024,9,http://www.statiz.co.kr/player.php?name=%EA%B0%95%ED%83%9C%EC%9C%A8
강한울,1991,0.266,847,2162,276,576,67,18,2,159,43,27,154,422,2.974,2.958,5.932,2014,2024,11,http://www.statiz.co.kr/player.php?name=%EA%B0%95%ED%95%9C%EC%9A%B8
고종욱,1989,0.302,1060,3159,480,955,163,36,47,397,128,60,170,661,4.525,3.786,8.311,2011,2024,14,http://www.statiz.co.kr/player.php?name=%EA%B3%A0%EC%A2%85%EC%9A%B1
공민규,1999,0.197,77,117,5,23,2,1,4,12,0,0,10,50,1.168,1.037,2.205,2019,2024,6,http://www.statiz.co.kr/player.php?name=%EA%B3%B5%EB%AF%BC%EA%B7%9C
김강민,1982,0.273,1960,5440,810,1487,266,24,139,681,209,108,484,1135,8.606,7.456,16.062,2002,2024,23,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EA%B0%95%EB%AF%BC
김대한,2000,0.184,164,267,37,49,10,2,6,25,4,5,23,83,0.931,0.982,1.913,2019,2024,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%8C%80%ED%95%9C
김도환,2000,0.189,130,185,10,35,10,0,2,17,0,1,16,73,0.939,1.029,1.968,2019,2024,6,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%8F%84%ED%99%98
김동엽,1990,0.268,657,2028,260,543,88,2,92,316,24,17,114,435,3.582,2.638,6.22,2016,2024,9,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%8F%99%EC%97%BD
김동진,1996,0.227,79,163,19,37,8,0,1,10,3,0,12,38,1.009,0.738,1.747,2022,2024,3,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%8F%99%EC%A7%84
김민수,1991,0.198,160,248,25,49,8,0,4,27,0,0,13,68,1.996,1.559,3.555,2014,2024,11,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AF%BC%EC%88%98
김민식,1989,0.226,866,1981,239,448,66,8,25,224,11,6,240,399,2.863,3.078,5.941,2015,2024,10,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AF%BC%EC%8B%9D
김민혁,1995,0.292,778,2166,311,633,68,16,10,190,71,40,198,322,2.64,2.669,5.309,2015,2024,10,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AF%BC%ED%98%81
김민혁,1996,0.228,110,202,22,46,7,0,8,33,0,0,21,64,2.112,1.834,3.946,2017,2024,8,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%AF%BC%ED%98%81
김범석,2004,0.222,80,189,17,42,5,0,7,28,0,0,15,54,0.636,0.444,1.08,2023,2024,2,http://www.statiz.co.kr/player.php?name=%EA%B9%80%EB%B2%94%EC%84%9D
