name,birth,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E,FY,LY,AY,AVG,URL
강민성,1999,10,16,13,0,1,0,0,0,1,0,0,0,3,0,5,0,0.077,0.25,0,2025,2025,1,0.077,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EB%AF%BC%EC%84%B1
강민호,1985,39,149,132,9,36,9,0,2,51,24,1,2,14,1,21,3,0.386,0.347,1,2025,2025,1,0.273,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EB%AF%BC%ED%98%B8
강백호,1999,32,140,127,12,29,6,0,6,53,16,1,1,12,1,26,5,0.417,0.3,1,2025,2025,1,0.228,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EB%B0%B1%ED%98%B8
강성우,2005,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025,2025,1,0,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EC%84%B1%EC%9A%B0
강승호,1994,40,167,149,22,32,10,2,2,52,14,4,1,14,3,50,3,0.349,0.295,5,2025,2025,1,0.215,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EC%8A%B9%ED%98%B8
강진성,1993,6,13,11,1,2,0,0,0,2,1,0,0,2,0,1,2,0.182,0.308,0,2025,2025,1,0.182,http://www.statiz.co.kr/player.php?name=%EA%B0%95%EC%A7%84%EC%84%B1
강현우,2001,10,15,12,0,2,0,0,0,2,1,0,0,3,0,4,0,0.167,0.333,2,2025,2025,1,0.167,http://www.statiz.co.kr/player.php?name=%EA%B0%95%ED%98%84%EC%9A%B0
고명준,2002,39,141,131,7,34,8,0,2,48,16,1,0,8,1,36,3,0.366,0.307,2,2025,2025,1,0.26,http://www.statiz.co.kr/player.php?name=%EA%B3%A0%EB%AA%85%EC%A4%80
고승민,2000,33,145,129,16,37,4,1,1,46,9,2,1,13,0,22,4,0.357,0.352,4,2025,2025,1,0.287,http://www.statiz.co.kr/player.php?name=%EA%B3%A0%EC%8A%B9%EB%AF%BC
고영우,2001,3,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2025,2025,1,0,http://www.statiz.co.kr/player.php?name=%EA%B3%A0%EC%98%81%EC%9A%B0
구본혁,1997,36,95,83,9,19,4,1,0,25,9,0,2,8,1,13,2,0.301,0.304,1,2025,2025,1,0.229,http://www.statiz.co.kr/player.php?name=%EA%B5%AC%EB%B3%B8%ED%98%81
구승민,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,2025,1,0,http://www.statiz.co.kr/player.php?name=%EA%B5%AC%EC%8A%B9%EB%AF%BC
구자욱,1993,41,174,147,33,39,9,0,8,72,27,0,0,21,1,26,2,0.49,0.361,1,2025,2025,1,0.265,http://www.statiz.co.kr/player.php?name=%EA%B5%AC%EC%9E%90%EC%9A%B1
