name,birth,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,E,active_year,team,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
강민성,1999,23,44,36,2,5,1,0,0,6,0,0,0,7,0,15,0,2,3,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69064.jpg,2023,2025,0.139,0.279,0.167,0.446
강민호,1985,2408,8858,7752,978,2147,383,12,340,3574,1266,33,35,817,163,1550,247,149,22,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/74540.jpg,2004,2025,0.277,0.346,0.461,0.807
강백호,1999,834,3580,3133,511,953,192,6,127,1538,520,39,20,407,15,641,47,46,8,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68050.jpg,2018,2025,0.304,0.384,0.491,0.875
강성우,2005,3,3,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,2,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54567.jpg,2024,2025,0.5,0.5,0.5,1.0
강승호,1994,741,2582,2343,320,600,133,20,54,935,323,57,22,153,31,650,47,85,9,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63123.jpg,2016,2025,0.256,0.302,0.399,0.701
강진성,1993,482,1391,1247,146,327,64,2,26,473,156,24,5,90,33,201,39,19,10,NC,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62925.jpg,2013,2025,0.262,0.312,0.379,0.691
강현우,2001,107,194,171,17,36,9,0,3,54,23,0,1,19,1,42,4,7,4,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2020,2025,0.211,0.289,0.316,0.605
고명준,2002,150,516,480,40,119,21,0,13,179,61,4,4,33,2,132,8,7,4,SSG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51868.jpg,2021,2025,0.248,0.296,0.373,0.669
고승민,2000,369,1336,1182,168,337,66,12,22,493,156,16,12,125,2,227,23,23,5,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69517.jpg,2019,2025,0.285,0.353,0.417,0.771
고영우,2001,97,294,258,21,65,12,2,0,81,35,0,0,28,1,75,5,12,2,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/54344.jpg,2024,2025,0.252,0.325,0.314,0.639
구본혁,1997,474,722,631,97,140,21,4,4,181,68,10,7,62,10,106,11,19,5,LG,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/69100.jpg,2019,2025,0.222,0.291,0.287,0.578
구승민,1990,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,롯데,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/63543.jpg,2018,2025,,,,
구자욱,1993,1251,5481,4846,912,1534,309,56,175,2480,813,140,37,499,67,936,50,42,11,삼성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/62404.jpg,2015,2025,0.317,0.38,0.512,0.892
권광민,1997,120,222,195,27,40,7,2,6,69,26,2,1,22,2,72,2,3,4,한화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52769.jpg,2022,2025,0.205,0.286,0.354,0.64
권동진,1998,171,228,192,43,50,9,2,1,66,17,7,4,31,0,71,1,15,4,KT,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/51003.jpg,2021,2025,0.26,0.363,0.344,0.707
권혁빈,2005,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,키움,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/55371.jpg,2025,2025,0.0,0.0,0.0,0.0
