name,pic_url,birth_year,season,team,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1982,해태,0.259,76,282,46,73,9,1,1,12,32,10,31,20,0.309,0.339
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1983,해태,0.266,86,229,20,61,6,2,1,23,16,11,13,17,0.323,0.311
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1984,해태,0.204,70,162,16,33,3,1,0,12,11,6,15,24,0.235,0.275
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1985,해태,0.239,107,238,21,57,7,0,0,12,13,5,11,21,0.269,0.276
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1986,해태,0.199,85,176,18,35,4,0,0,3,3,5,9,9,0.222,0.242
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1987,해태,0.2,39,70,9,14,4,0,0,6,5,1,5,3,0.257,0.263
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1988,해태,0.214,54,70,6,15,0,0,0,5,0,3,6,6,0.214,0.291
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1989,해태,0.222,15,9,0,2,0,0,0,2,0,0,0,0,0.222,0.222
우용득,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/20001.jpg,1950,1983,삼성,0.111,14,18,0,2,0,0,0,1,0,0,2,5,0.111,0.2
손상대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30003.jpg,1954,1982,삼성,0.211,12,19,1,4,0,0,0,2,1,0,1,5,0.211,0.286
손상대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30003.jpg,1954,1983,삼성,0.125,10,8,0,1,1,0,0,0,0,0,2,5,0.25,0.3
손상대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30003.jpg,1954,1984,삼성,0.333,6,3,0,1,0,0,0,1,0,0,0,0,0.333,0.333
손상대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30003.jpg,1954,1985,삼성,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1982,OB,0.252,80,274,29,69,14,2,4,38,12,6,15,15,0.361,0.296
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1983,OB,0.212,87,250,24,53,8,1,0,18,3,5,11,17,0.252,0.257
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1984,OB,0.208,66,130,13,27,1,0,3,20,2,3,4,13,0.285,0.248
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1985,OB,0.209,107,321,32,67,9,4,3,35,5,9,21,34,0.29,0.264
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1986,OB,0.27,100,330,31,89,8,2,2,37,8,2,17,27,0.324,0.321
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1987,OB,0.205,95,263,29,54,9,3,0,18,3,4,19,17,0.262,0.265
유지훤,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30004.jpg,1955,1988,OB,0.201,95,239,15,48,5,3,0,21,5,1,19,18,0.247,0.259
천보성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40002.jpg,1953,1982,삼성,0.267,38,90,13,24,6,0,0,10,2,0,10,9,0.333,0.347
천보성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40002.jpg,1953,1983,삼성,0.247,71,174,23,43,8,1,6,25,3,1,16,17,0.408,0.314
천보성,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40002.jpg,1953,1984,삼성,0.217,65,180,20,39,8,0,2,20,5,4,21,15,0.294,0.299
최정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40003.jpg,1955,1982,MBC,0.214,33,56,6,12,0,0,0,4,3,2,7,12,0.214,0.302
최정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40003.jpg,1955,1983,MBC,0.169,46,71,10,12,2,1,0,3,2,0,5,13,0.225,0.224
최정우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40003.jpg,1955,1984,MBC,0,29,14,5,0,0,0,0,0,1,0,1,4,0,0.067
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1982,MBC,0.259,79,309,47,80,9,0,3,26,35,7,17,14,0.317,0.334
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1983,MBC,0.263,100,380,48,100,16,2,1,30,14,10,11,18,0.324,0.307
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1984,MBC,0.258,100,387,44,100,13,8,3,28,8,7,22,24,0.357,0.313
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1985,MBC,0.275,110,404,48,111,14,0,2,16,17,11,30,22,0.324,0.337
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1986,MBC,0.282,108,309,36,87,13,1,2,29,12,5,17,15,0.35,0.329
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1987,MBC,0.215,108,288,24,62,1,0,0,19,7,3,7,15,0.219,0.241
김인식,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40006.jpg,1953,1988,MBC,0.144,57,90,13,13,1,0,0,6,6,3,3,2,0.156,0.198
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1983,OB,0.312,97,375,53,117,19,6,3,24,7,6,38,28,0.419,0.38
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1984,OB,0.306,100,271,35,83,11,2,7,37,9,5,26,18,0.439,0.377
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1985,OB,0.342,103,348,48,119,19,4,6,51,17,8,29,16,0.471,0.399
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1986,OB,0.259,92,320,47,83,11,2,6,28,12,8,35,20,0.363,0.341
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1987,OB,0.284,80,264,33,75,10,1,6,34,5,3,22,15,0.398,0.336
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1988,OB,0.262,103,336,34,88,11,1,3,36,11,5,33,20,0.327,0.328
박종훈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/40007.jpg,1959,1989,OB,0.254,107,295,31,75,13,1,1,21,10,5,30,28,0.315,0.328
문상준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50007.jpg,2001,2022,KT,0.333,2,3,0,1,1,0,0,0,0,0,0,2,0.667,0.333
문상준,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50007.jpg,2001,2023,KT,0.2,2,5,1,1,0,0,0,0,0,0,0,4,0.2,0.2
유영찬,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50106.jpg,1997,2024,LG,-,8,0,0,0,0,0,0,0,0,0,0,0,-,-
성재헌,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50109.jpg,1997,2024,KT,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
김수인,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50115.jpg,1997,2024,LG,0,4,3,0,0,0,0,0,0,0,0,0,2,0,0
라모스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50165.jpg,1994,2020,LG,0.278,117,431,74,120,17,2,38,86,2,0,55,136,0.592,0.362
라모스,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50165.jpg,1994,2021,LG,0.243,51,185,14,45,7,1,8,25,0,0,18,43,0.422,0.317
안권수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50202.jpg,1993,2020,두산,0.27,68,37,10,10,0,0,0,3,2,1,2,5,0.27,0.3
안권수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50202.jpg,1993,2021,두산,0.238,87,42,17,10,0,1,0,4,3,0,3,3,0.286,0.289
안권수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50202.jpg,1993,2022,두산,0.297,76,239,43,71,7,2,0,20,3,4,26,40,0.343,0.368
안권수,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2023/50202.jpg,1993,2023,롯데,0.269,95,268,42,72,6,1,2,29,16,7,30,40,0.321,0.341
권휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50203.jpg,2000,2020,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,-,-
권휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50203.jpg,2000,2021,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,-,-
권휘,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50203.jpg,2000,2024,두산,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
장규빈,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50244.jpg,2001,2024,두산,0.25,3,4,1,1,0,0,0,0,0,0,0,1,0.25,0.25
양찬열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50293.jpg,1997,2020,두산,0.227,17,22,5,5,0,0,0,3,0,0,3,2,0.227,0.346
양찬열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50293.jpg,1997,2022,두산,0.244,41,82,15,20,4,0,3,12,0,0,11,23,0.402,0.333
양찬열,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/50293.jpg,1997,2023,두산,0.239,44,88,15,21,2,2,0,6,3,2,9,23,0.307,0.313
