name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
(Unknown) Scott,1861,13,53,10,12,1,1,1,31,6,2,2,37,1884,0.226415094,0.254545455,0.339622642,0.594168096
(Unknown) Wills,1861,9,36,3,5,3,0,0,31,6,2,0,37,1884,0.138888889,0.138888889,0.222222222,0.361111111
A.J. Ellis,1985,672,1948,194,466,82,3,44,229,2,4,280,414,2018,0.239219713,0.334829443,0.352156057,0.686985501
A.J. Hinch,1975,350,953,104,209,28,3,32,112,13,6,71,214,2004,0.21930745,0.2734375,0.355718783,0.629156283
A.J. Pierzynski,1975,2059,7290,807,2043,407,24,188,909,15,23,308,895,2016,0.280246914,0.309423533,0.420027435,0.729450967
AJ Pollock,1989,1087,3787,575,1032,225,32,145,485,122,29,291,736,2023,0.272511223,0.324423737,0.463691576,0.788115314
AJ Reed,1993,62,175,12,26,3,0,4,12,0,0,22,71,2019,0.148571429,0.243654822,0.234285714,0.477940537
Aaron Altherr,1991,359,1016,142,222,54,10,37,150,21,10,110,332,2019,0.218503937,0.294849023,0.400590551,0.695439574
Aaron Boone,1975,1152,3871,519,1017,216,17,126,555,107,30,303,707,2009,0.262722811,0.316243412,0.424954792,0.741198204
Aaron Clapp,1856,36,146,24,39,9,3,0,18,6,2,6,10,1879,0.267123288,0.296052632,0.369863014,0.665915645
Aaron Cunningham,1985,222,452,47,99,31,3,7,51,4,6,34,110,2012,0.219026549,0.273662551,0.347345133,0.621007684
Aaron Guiel,1979,307,970,151,239,58,0,35,128,8,12,83,218,2006,0.246391753,0.305792972,0.41443299,0.720225962
Aaron Hicks,1990,981,3135,469,724,120,15,109,392,71,26,461,793,2024,0.230940989,0.329532814,0.383094099,0.712626913
Aaron Hill,1982,1559,5646,736,1501,325,22,162,695,74,35,443,847,2017,0.265851931,0.319264247,0.417286575,0.736550822
Aaron Holbert,1981,23,30,3,6,3,0,0,2,1,0,3,8,2005,0.2,0.272727273,0.3,0.572727273
Aaron Judge,1993,993,3564,736,1026,173,5,315,716,53,16,693,1209,2024,0.287878788,0.403805497,0.604377104,1.008182601
Aaron Ledesma,1973,284,754,94,223,38,4,2,76,11,8,44,111,2000,0.295755968,0.334586466,0.364721485,0.699307952
Aaron Miles,1980,932,2827,347,793,110,18,19,229,30,18,162,294,2011,0.280509374,0.319504851,0.352316944,0.671821795
Aaron Pointer,1942,40,101,11,21,5,0,2,15,2,1,18,33,1967,0.207920792,0.327731092,0.316831683,0.644562776
