name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1982,해태,0.259,76,323,282,46,73,9,1,1,87,12,32,10,31,3,20,3,0.309,0.339,5
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1983,해태,0.266,86,252,229,20,61,6,2,1,74,23,16,11,13,2,17,3,0.323,0.311,7
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1984,해태,0.204,70,185,162,16,33,3,1,0,38,12,11,6,15,1,24,2,0.235,0.275,11
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1985,해태,0.239,107,266,238,21,57,7,0,0,64,12,13,5,11,1,21,6,0.269,0.276,7
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1986,해태,0.199,85,192,176,18,35,4,0,0,39,3,3,5,9,1,9,5,0.222,0.242,8
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1987,해태,0.200,39,83,70,9,14,4,0,0,18,6,5,1,5,1,3,4,0.257,0.263,3
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1988,해태,0.214,54,85,70,6,15,0,0,0,15,5,0,3,6,2,6,1,0.214,0.291,3
차영화,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/10005.jpg,1957,1989,해태,0.222,15,9,9,0,2,0,0,0,2,2,0,0,0,0,0,1,0.222,0.222,2
우용득,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/20001.jpg,1950,1983,삼성,0.111,14,20,18,0,2,0,0,0,2,1,0,0,2,0,5,0,0.111,0.200,0
손상대,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/30003.jpg,1954,1982,삼성,0.211,12,22,19,1,4,0,0,0,4,2,1,0,1,1,5,0,0.211,0.286,1
