name,pic_url,birth,season,team,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SLG,OBP
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2020,KT,0.203,66,69,9,14,3,0,0,1,1,1,7,15,0.246,0.286
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2021,KT,0.286,41,42,13,12,1,0,0,4,1,0,3,9,0.31,0.362
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2024,KT,0.295,75,234,41,69,8,3,1,17,7,0,18,43,0.368,0.346
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2025,KT,0.22,22,50,7,11,5,1,0,7,0,1,8,9,0.36,0.35
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2020,KT,0.2,26,30,2,6,2,0,1,3,0,0,2,11,0.367,0.25
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2023,KT,0.194,53,103,11,20,6,0,1,11,0,1,6,17,0.282,0.245
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2024,KT,0.308,18,26,4,8,1,0,1,8,0,0,8,10,0.462,0.471
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2025,KT,0.167,10,12,0,2,0,0,0,1,0,0,3,4,0.167,0.333
윤준혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50092.jpg,2001,2024,KT,0.176,13,17,3,3,2,0,0,0,0,0,1,6,0.294,0.222
윤준혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50092.jpg,2001,2025,KT,0.071,15,14,1,1,1,0,0,0,1,0,0,4,0.143,0.071
함창건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50108.jpg,2001,2024,LG,0.143,15,14,3,2,0,0,0,0,0,0,2,3,0.143,0.25
함창건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50108.jpg,2001,2025,LG,0,2,6,0,0,0,0,0,0,0,0,0,2,0,0
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2020,LG,0.367,23,30,9,11,2,0,0,3,5,0,1,6,0.433,0.387
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2021,LG,0.1,8,10,2,1,0,0,0,0,0,0,1,2,0.1,0.25
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2022,LG,0.257,36,74,13,19,0,2,3,14,0,3,6,14,0.432,0.309
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2023,LG,0.205,27,44,8,9,0,0,1,6,2,1,1,12,0.273,0.222
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2024,롯데,0.317,102,398,70,126,26,4,18,78,7,4,17,65,0.538,0.354
손호영,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50150.jpg,1994,2025,롯데,0.232,27,95,7,22,2,0,0,10,1,0,7,18,0.253,0.295
