name,birth,G,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,active_year,pic_url,first_year,last_year,AVG,OBP,SLG,OPS
가르시아,1975,469,1697,257,447,85,5,105,857,347,15,12,187,10,422,31,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72736.jpg,2002,2011,0.263,0.337,0.505,0.842
가르시아,1985,50,183,27,62,9,0,8,95,34,5,0,9,8,25,3,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/68103.jpg,2018,2018,0.339,0.37,0.519,0.889
가르시아,1993,39,136,21,28,6,1,4,48,19,4,1,19,1,40,4,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/52125.jpg,2022,2022,0.206,0.303,0.353,0.656
가코,1981,58,189,21,46,8,0,1,57,28,0,1,22,5,34,12,1,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61435.jpg,2011,2011,0.243,0.322,0.302,0.624
강경학,1992,516,1167,185,277,36,12,13,376,104,14,11,162,21,304,22,9,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/61700.jpg,2011,2021,0.237,0.33,0.322,0.653
강귀태,1979,816,1833,176,468,76,4,31,645,215,9,12,124,15,262,58,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72312.jpg,2002,2012,0.255,0.303,0.352,0.654
강규철,1974,51,52,6,9,0,0,1,12,3,0,1,1,1,8,1,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/97204.jpg,1997,2001,0.173,0.189,0.231,0.419
강기웅,1964,671,2287,328,667,94,18,61,980,304,111,42,175,24,209,54,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/89475.jpg,1989,1996,0.292,0.342,0.429,0.771
강대호,1974,40,60,5,11,1,0,1,15,7,0,1,7,2,25,1,2,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/97754.jpg,1997,1998,0.183,0.269,0.25,0.519
강동우,1974,1427,4613,687,1247,199,32,75,1735,456,133,58,556,23,611,102,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/98420.jpg,1998,2013,0.27,0.349,0.376,0.725
강두곤,1969,74,72,11,12,3,0,0,15,4,2,0,4,2,12,4,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92412.jpg,1992,1995,0.167,0.211,0.208,0.419
강로한,1992,164,350,53,78,15,6,6,123,30,9,3,19,4,137,3,5,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/65515.jpg,2015,2022,0.223,0.263,0.351,0.614
강명구,1980,581,297,153,57,7,2,1,71,26,111,24,25,5,62,9,10,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/73409.jpg,2003,2014,0.192,0.255,0.239,0.494
강민국,1992,197,275,32,63,6,1,1,74,22,2,1,19,0,54,4,8,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/64906.jpg,2014,2022,0.229,0.279,0.269,0.548
강민규,1975,129,185,26,38,5,2,3,56,22,8,4,12,2,51,0,3,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/98855.jpg,1998,2001,0.205,0.254,0.303,0.557
강병식,1977,761,1305,147,308,56,5,39,491,174,11,12,166,32,305,35,11,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/72325.jpg,2002,2012,0.236,0.322,0.376,0.698
강봉규,1978,909,1991,320,522,99,10,49,788,262,63,19,269,27,410,53,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/70224.jpg,2000,2015,0.262,0.35,0.396,0.746
강상원,1997,75,57,15,7,1,0,0,8,3,4,0,10,1,18,0,4,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/66710.jpg,2017,2022,0.123,0.254,0.14,0.394
강석천,1967,1458,4833,670,1342,246,31,93,1929,542,192,95,371,88,684,139,15,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2024/89778.jpg,1989,2003,0.278,0.329,0.399,0.728
강성우,1970,959,1787,130,407,61,8,6,502,167,9,10,102,16,252,51,14,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/92509.jpg,1992,2005,0.228,0.269,0.281,0.55
