name,pic_url,birth,season,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2020,KT,0.203,66,77,69,9,14,3,0,0,17,1,1,1,7,1,15,0,0.246,0.286,3
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2021,KT,0.286,41,47,42,13,12,1,0,0,13,4,1,0,3,2,9,0,0.310,0.362,3
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2024,KT,0.295,75,255,234,41,69,8,3,1,86,17,7,0,18,1,43,5,0.368,0.346,4
천성호,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50054.jpg,1997,2025,KT,0.220,22,60,50,7,11,5,1,0,18,7,0,1,8,2,9,1,0.360,0.350,2
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2020,KT,0.200,26,32,30,2,6,2,0,1,11,3,0,0,2,0,11,1,0.367,0.250,1
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2023,KT,0.194,53,111,103,11,20,6,0,1,29,11,0,1,6,1,17,3,0.282,0.245,2
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2024,KT,0.308,18,36,26,4,8,1,0,1,12,8,0,0,8,0,10,0,0.462,0.471,2
강현우,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50066.jpg,2001,2025,KT,0.167,10,15,12,0,2,0,0,0,2,1,0,0,3,0,4,0,0.167,0.333,2
윤준혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50092.jpg,2001,2024,KT,0.176,13,18,17,3,3,2,0,0,5,0,0,0,1,0,6,0,0.294,0.222,1
윤준혁,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50092.jpg,2001,2025,KT,0.071,15,15,14,1,1,1,0,0,2,0,1,0,0,0,4,0,0.143,0.071,0
함창건,https://6ptotvmi5753.edge.naverncp.com/KBO_IMAGE/person/middle/2025/50108.jpg,2001,2024,LG,0.143,15,17,14,3,2,0,0,0,2,0,0,0,2,0,3,1,0.143,0.250,0
