full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
가르시아,1975,2011,469,1697,447,85,5,105,187,422,347,257,15,12,0.263,0.337,0.505,0.842
가르시아,1985,2018,50,183,62,9,0,8,9,25,34,27,5,0,0.339,0.37,0.519,0.889
가르시아,1993,2022,39,136,28,6,1,4,19,40,19,21,4,1,0.206,0.303,0.353,0.656
가코,1981,2011,58,189,46,8,0,1,22,34,28,21,0,1,0.243,0.322,0.302,0.624
강경학,1992,2021,516,1167,277,36,12,13,162,304,104,185,14,11,0.237,0.33,0.322,0.653
강귀태,1979,2012,816,1833,468,76,4,31,124,262,215,176,9,12,0.255,0.303,0.352,0.654
강규철,1974,2001,51,52,9,0,0,1,1,8,3,6,0,1,0.173,0.189,0.231,0.419
강기웅,1964,1996,671,2287,667,94,18,61,175,209,304,328,111,42,0.292,0.342,0.429,0.771
강대호,1974,1998,40,60,11,1,0,1,7,25,7,5,0,1,0.183,0.269,0.25,0.519
강동우,1974,2013,1427,4613,1247,199,32,75,556,611,456,687,133,58,0.27,0.349,0.376,0.725
강두곤,1969,1995,74,72,12,3,0,0,4,12,4,11,2,0,0.167,0.211,0.208,0.419
강로한,1992,2022,164,350,78,15,6,6,19,137,30,53,9,3,0.223,0.263,0.351,0.614
강명구,1980,2014,581,297,57,7,2,1,25,62,26,153,111,24,0.192,0.255,0.239,0.494
강민국,1992,2022,197,275,63,6,1,1,19,54,22,32,2,1,0.229,0.279,0.269,0.548
강민규,1975,2001,129,185,38,5,2,3,12,51,22,26,8,4,0.205,0.254,0.303,0.557
강병식,1977,2012,761,1305,308,56,5,39,166,305,174,147,11,12,0.236,0.322,0.376,0.698
강봉규,1978,2015,909,1991,522,99,10,49,269,410,262,320,63,19,0.262,0.35,0.396,0.746
강상원,1997,2022,75,57,7,1,0,0,10,18,3,15,4,0,0.123,0.254,0.14,0.394
강석천,1967,2003,1458,4833,1342,246,31,93,371,684,542,670,192,95,0.278,0.329,0.399,0.728
강성우,1970,2005,959,1787,407,61,8,6,102,252,167,130,9,10,0.228,0.269,0.281,0.55
강영수,1965,1998,831,2092,464,82,9,86,329,524,311,274,18,14,0.222,0.328,0.393,0.72
강영수,1973,1996,35,72,16,5,0,1,2,15,3,7,2,0,0.222,0.243,0.333,0.577
강인권,1972,2006,710,1252,305,41,2,8,160,264,119,114,7,12,0.244,0.329,0.299,0.628
강정길,1962,1995,1039,2871,765,134,9,52,351,362,387,302,27,32,0.266,0.346,0.374,0.72
강정남,1960,1984,26,50,5,3,0,0,2,13,2,5,0,0,0.1,0.135,0.16,0.295
강정호,1987,2014,902,3070,916,193,10,139,387,601,545,470,51,28,0.298,0.377,0.504,0.88
강종필,1967,1997,426,564,136,16,3,15,55,148,54,111,39,15,0.241,0.309,0.36,0.668
강지광,1990,2018,56,88,18,2,0,1,13,35,9,13,1,3,0.205,0.307,0.261,0.568
강진규,1968,1992,36,51,6,0,0,0,2,10,1,6,0,0,0.118,0.151,0.118,0.269
강태윤,1965,1995,125,209,52,5,0,2,22,39,18,11,0,2,0.249,0.32,0.301,0.622
강태율,1996,2024,65,81,10,2,0,3,13,25,10,3,0,1,0.123,0.245,0.259,0.504
강한울,1991,2024,847,2162,576,67,18,2,154,422,159,276,43,27,0.266,0.315,0.317,0.632
강혁,1974,2007,428,930,232,45,0,18,85,141,115,99,2,7,0.249,0.312,0.356,0.668
강형석,1968,1997,241,395,88,17,6,5,35,71,41,45,10,3,0.223,0.286,0.334,0.62
강효섭,1973,1996,41,40,8,0,0,0,2,7,1,2,3,0,0.2,0.238,0.2,0.438
계기범,1970,1997,76,159,37,4,1,2,6,40,16,19,4,3,0.233,0.261,0.308,0.569
고기성,1970,1998,255,331,71,12,2,3,30,78,28,36,6,6,0.215,0.28,0.29,0.57
고동진,1980,2015,820,2296,572,97,7,21,214,428,201,311,62,34,0.249,0.313,0.325,0.638
고메즈,1988,2016,117,456,129,31,0,21,25,87,62,74,16,8,0.283,0.32,0.489,0.809
고영민,1984,2016,879,2306,581,100,15,46,278,553,292,427,133,47,0.252,0.332,0.368,0.701
고원부,1962,1992,594,1881,526,71,9,37,229,159,245,239,52,33,0.28,0.358,0.386,0.744
고장혁,1990,2020,291,239,45,10,1,1,12,64,15,61,12,8,0.188,0.227,0.251,0.478
고정식,1965,1993,76,122,30,4,0,0,9,17,5,12,1,0,0.246,0.298,0.279,0.576
고종욱,1989,2024,1060,3159,955,163,36,47,170,661,397,480,128,60,0.302,0.338,0.421,0.759
고지행,1978,2005,119,320,86,9,0,6,21,79,35,43,9,5,0.269,0.314,0.353,0.667
공민규,1999,2024,77,117,23,2,1,4,10,50,12,5,0,0,0.197,0.26,0.333,0.593
공봉구,1967,1991,48,104,23,7,1,0,17,16,8,11,2,1,0.221,0.331,0.308,0.638
공유선,1974,1994,13,34,7,1,0,1,3,9,3,1,0,0,0.206,0.27,0.324,0.594
공의식,1970,1997,168,313,60,12,2,12,48,108,42,35,10,7,0.192,0.299,0.358,0.657
공필성,1967,2000,1184,3061,760,151,26,41,276,581,346,363,106,46,0.248,0.31,0.355,0.665
곽권희,1966,1992,159,275,63,12,1,5,28,60,27,35,4,4,0.229,0.3,0.335,0.635
곽동열,1955,1989,42,47,14,3,0,1,1,10,4,7,0,0,0.298,0.312,0.426,0.738
