,full_name,birth_year,retire_year,G,AB,H,2B,3B,HR,BB,SO,RBI,R,SB,CS,AVG,OBP,SLG,OPS
0,(Unknown) Scott,1861,1884,13,53,12,1,1,1,2,37,31,10,6,2,0.226415094,0.254545455,0.339622642,0.594168096
1,(Unknown) Wills,1861,1884,9,36,5,3,0,0,0,37,31,3,6,2,0.138888889,0.138888889,0.222222222,0.361111111
2,A.J. Ellis,1985,2018,672,1948,466,82,3,44,280,414,229,194,2,4,0.239219713,0.334829443,0.352156057,0.686985501
3,A.J. Hinch,1975,2004,350,953,209,28,3,32,71,214,112,104,13,6,0.21930745,0.2734375,0.355718783,0.629156283
4,A.J. Pierzynski,1975,2016,2059,7290,2043,407,24,188,308,895,909,807,15,23,0.280246914,0.309423533,0.420027435,0.729450967
5,AJ Pollock,1989,2023,1087,3787,1032,225,32,145,291,736,485,575,122,29,0.272511223,0.324423737,0.463691576,0.788115314
6,AJ Reed,1993,2019,62,175,26,3,0,4,22,71,12,12,0,0,0.148571429,0.243654822,0.234285714,0.477940537
7,Aaron Altherr,1991,2019,359,1016,222,54,10,37,110,332,150,142,21,10,0.218503937,0.294849023,0.400590551,0.695439574
8,Aaron Boone,1975,2009,1152,3871,1017,216,17,126,303,707,555,519,107,30,0.262722811,0.316243412,0.424954792,0.741198204
9,Aaron Clapp,1856,1879,36,146,39,9,3,0,6,10,18,24,6,2,0.267123288,0.296052632,0.369863014,0.665915645
10,Aaron Cunningham,1985,2012,222,452,99,31,3,7,34,110,51,47,4,6,0.219026549,0.273662551,0.347345133,0.621007684
11,Aaron Guiel,1979,2006,307,970,239,58,0,35,83,218,128,151,8,12,0.246391753,0.305792972,0.41443299,0.720225962
12,Aaron Hicks,1990,2024,981,3135,724,120,15,109,461,793,392,469,71,26,0.230940989,0.329532814,0.383094099,0.712626913
13,Aaron Hill,1982,2017,1559,5646,1501,325,22,162,443,847,695,736,74,35,0.265851931,0.319264247,0.417286575,0.736550822
14,Aaron Holbert,1981,2005,23,30,6,3,0,0,3,8,2,3,1,0,0.2,0.272727273,0.3,0.572727273
15,Aaron Judge,1993,2024,993,3564,1026,173,5,315,693,1209,716,736,53,16,0.287878788,0.403805497,0.604377104,1.008182601
16,Aaron Ledesma,1973,2000,284,754,223,38,4,2,44,111,76,94,11,8,0.295755968,0.334586466,0.364721485,0.699307952
17,Aaron Miles,1980,2011,932,2827,793,110,18,19,162,294,229,347,30,18,0.280509374,0.319504851,0.352316944,0.671821795
18,Aaron Pointer,1942,1967,40,101,21,5,0,2,18,33,15,11,2,1,0.207920792,0.327731092,0.316831683,0.644562776
19,Aaron Robinson,1921,1951,610,1839,478,74,11,61,337,194,272,208,0,6,0.259923872,0.374540441,0.411636759,0.7861772
20,Aaron Rowand,1978,2011,1358,4374,1193,267,18,136,261,914,536,613,67,30,0.272748057,0.313700108,0.435299497,0.748999605
21,Aaron Schunk,2001,2024,39,94,22,3,0,2,4,31,7,14,0,1,0.234042553,0.265306122,0.329787234,0.595093356
22,Aaron Ward,1894,1928,1062,3611,966,158,54,50,339,457,446,457,36,45,0.267515924,0.330379747,0.382719468,0.713099215
23,Ab Wright,1920,1944,139,355,88,20,1,9,28,48,53,37,2,3,0.247887324,0.302872063,0.385915493,0.688787556
24,Abbie Johnson,1873,1897,73,248,59,8,2,0,17,43,37,26,2,5,0.237903226,0.286792453,0.286290323,0.573082775
25,Abner Dalrymple,1857,1891,951,4172,1202,217,81,43,204,359,407,813,102,28,0.288111218,0.321297989,0.40987536,0.731173349
26,Abner Powell,1861,1884,48,191,54,10,5,0,3,37,31,36,6,2,0.282722513,0.293814433,0.387434555,0.681248988
27,Abraham Almonte,1990,2023,463,1236,288,73,13,24,119,327,118,169,27,9,0.233009709,0.300369004,0.371359223,0.671728227
28,Abraham M. Nunez,1980,2004,136,302,63,10,1,6,34,74,35,42,1,4,0.208609272,0.288690476,0.30794702,0.596637496
29,Abraham O. Nunez,1974,2008,1030,2486,601,88,19,18,250,447,209,286,38,16,0.241753821,0.311038012,0.314159292,0.625197304
30,Abraham Toro,1996,2024,365,1179,259,47,4,34,87,228,134,145,14,7,0.219677693,0.273301738,0.352841391,0.626143129
31,Ace Parker,1914,1938,94,207,37,5,1,2,14,33,25,20,1,2,0.178743961,0.230769231,0.241545894,0.472315124
32,Ace Stewart,1872,1895,97,365,88,8,10,8,39,40,76,52,14,2,0.24109589,0.314356436,0.383561644,0.697918079
33,Adael Amador,2001,2024,10,35,6,1,0,0,1,6,0,1,1,0,0.171428571,0.194444444,0.2,0.394444444
34,Adalberto Mondesi,1993,2022,358,1273,311,54,20,38,60,412,157,180,133,26,0.244304792,0.27831958,0.40769835,0.68601793
35,Adam Comorosky,1903,1935,813,2787,795,134,51,28,214,158,417,404,57,23,0.28525296,0.33622126,0.400071762,0.736293021
36,Adam DeBus,1894,1917,38,131,30,5,4,0,7,14,7,9,2,2,0.229007634,0.268115942,0.328244275,0.596360217
37,Adam Dunn,1978,2014,2001,6883,1631,334,10,462,1317,2379,1168,1097,63,25,0.236960628,0.359512195,0.489757373,0.849269568
38,Adam Duvall,1991,2024,1026,3393,771,171,15,195,247,1074,566,456,22,12,0.227232538,0.27967033,0.458885942,0.738556271
39,Adam Eaton,1989,2021,915,3439,950,167,46,66,346,679,319,566,87,32,0.276243094,0.342404227,0.409130561,0.751534788
40,Adam Engel,1994,2023,528,1419,318,65,11,30,76,452,123,173,47,18,0.22410148,0.263545151,0.348837209,0.61238236
41,Adam Everett,1978,2011,880,2758,668,135,15,40,174,455,283,334,67,21,0.242204496,0.287175989,0.345540247,0.632716236
42,Adam Frazier,1993,2024,1066,3425,903,180,28,60,282,515,339,468,55,32,0.263649635,0.319665498,0.385109489,0.704774987
43,Adam Haseley,1996,2023,158,379,98,22,0,5,27,96,43,49,5,0,0.258575198,0.307881773,0.356200528,0.664082301
44,Adam Hyzdu,1977,2006,221,358,82,18,0,19,41,98,61,54,1,1,0.229050279,0.308270677,0.438547486,0.746818163
45,Adam Jones,1983,2019,1823,7009,1939,336,29,282,340,1395,945,963,97,35,0.276644314,0.310110219,0.453559709,0.763669928
46,Adam Kennedy,1976,2012,1691,5473,1488,288,42,80,401,839,571,682,179,62,0.271880139,0.321586653,0.383701809,0.705288462
47,Adam LaRoche,1981,2015,1605,5593,1452,340,13,255,649,1407,882,752,13,11,0.259610227,0.336590836,0.461827284,0.79841812
48,Adam Lind,1983,2017,1344,4577,1247,259,12,200,393,945,723,588,7,5,0.272449203,0.329979879,0.46537033,0.795350209
49,Adam Loewen,1988,2011,14,32,6,1,0,1,3,13,4,4,0,0,0.1875,0.257142857,0.3125,0.569642857
50,Adam Melhuse,1978,2008,311,735,172,40,1,24,57,193,98,76,1,2,0.234013605,0.289141414,0.389115646,0.67825706
51,Adam Moore,1987,2018,104,292,58,12,0,7,13,95,23,21,2,1,0.198630137,0.232786885,0.311643836,0.544430721
52,Adam Piatt,1977,2003,212,521,129,31,6,16,57,149,65,62,3,4,0.247600768,0.321799308,0.422264875,0.744064183
53,Adam Riggs,1978,2004,61,153,33,9,1,3,16,30,10,18,6,2,0.215686275,0.289940828,0.346405229,0.636346057
54,Adam Rosales,1985,2018,653,1621,367,69,6,48,135,451,179,186,17,12,0.226403455,0.285876993,0.365206663,0.651083656
55,Adam Stern,1984,2010,54,43,5,1,0,1,0,10,7,7,2,1,0.11627907,0.11627907,0.209302326,0.325581395
56,Adam Young,1918,1941,16,39,3,0,0,0,8,2,1,2,0,0,0.076923077,0.234042553,0.076923077,0.31096563
57,Addison Barger,2001,2024,69,208,41,11,0,7,14,60,28,20,2,0,0.197115385,0.247747748,0.350961538,0.598709286
58,Addison Russell,1992,2019,615,1987,480,100,9,60,186,532,253,256,17,5,0.241570206,0.306488725,0.391545043,0.698033768
59,Adeiny Hechavarr챠a,1989,2020,922,3071,778,116,36,37,163,550,273,311,35,19,0.253337675,0.290970934,0.350700098,0.641671032
60,Adley Rutschman,1999,2024,415,1557,407,87,3,52,215,290,201,222,6,2,0.261400128,0.351015801,0.421323057,0.772338859
61,Admiral Schlei,1881,1911,640,1918,455,52,21,6,172,235,209,195,38,18,0.237226277,0.3,0.295620438,0.595620438
62,Adolfo Phillips,1942,1972,649,1875,463,86,21,59,251,485,173,270,82,44,0.246933333,0.335841957,0.4096,0.745441957
63,Adolis Garc챠a,1996,2024,631,2344,560,117,7,122,183,740,384,344,61,17,0.23890785,0.294024535,0.450938567,0.744963102
64,Adonis Garc챠a,1992,2017,244,896,239,45,0,29,36,151,110,104,7,2,0.266741071,0.295064378,0.4140625,0.709126878
65,Adonis Terry,1865,1890,256,979,249,24,22,8,66,109,144,142,65,7,0.254341164,0.301435407,0.348314607,0.649750013
66,Adrian Beltr�?1975,2018,2933,11068,3166,636,38,477,848,1732,1707,1524,121,42,0.286049874,0.336858006,0.479671124,0.81652913,
67,Adrian Brown,1975,2006,447,1134,293,44,8,11,109,161,86,166,45,15,0.258377425,0.323411102,0.340388007,0.663799109
68,Adrian Cardenas,1989,2012,45,60,11,6,0,0,7,13,2,5,0,0,0.183333333,0.268656716,0.283333333,0.55199005
69,Adrian Del Castillo,2001,2024,25,80,25,5,0,4,7,28,19,12,1,1,0.3125,0.367816092,0.525,0.892816092
70,Adrian Garrett,1946,1976,163,276,51,8,0,11,31,87,37,30,4,0,0.184782609,0.267100977,0.333333333,0.600434311
71,Adrian Nieto,1991,2014,48,106,25,5,0,2,8,38,7,8,0,1,0.235849057,0.289473684,0.339622642,0.629096326
72,Adri찼n Gonz찼lez,1981,2018,1929,7139,2050,437,12,317,782,1401,1202,997,6,7,0.287155064,0.357530615,0.484941869,0.842472483
73,Adri찼n Sanchez,1995,2021,106,195,51,11,1,0,6,47,16,22,0,2,0.261538462,0.28358209,0.328205128,0.611787218
74,Adron Chambers,1988,2013,84,88,19,1,3,0,8,30,9,11,2,2,0.215909091,0.28125,0.295454545,0.576704545
75,Agustin Bejerano,1905,1929,47,185,54,6,1,1,11,38,25,29,3,5,0.291891892,0.331632653,0.351351351,0.682984004
76,Agustin Parpetti,1899,1923,25,73,20,1,0,1,4,37,14,8,4,5,0.273972603,0.311688312,0.328767123,0.640455435
77,Akil Baddoo,1998,2024,340,999,226,38,12,28,119,302,103,137,42,13,0.226226226,0.308586762,0.372372372,0.680959134
78,Akinori Iwamura,1984,2010,408,1545,413,74,22,16,183,330,117,222,32,16,0.267313916,0.344907407,0.374757282,0.719664689
79,Al Baird,1895,1919,50,107,27,1,0,0,7,11,9,9,5,5,0.252336449,0.298245614,0.261682243,0.559927857
80,Al Bool,1906,1931,129,308,73,13,4,7,34,42,53,35,0,5,0.237012987,0.312865497,0.373376623,0.68624212
81,Al Boucher,1891,1914,147,516,119,26,4,2,52,88,49,62,13,2,0.230620155,0.301056338,0.308139535,0.609195873
82,Al Brancato,1919,1945,282,930,199,37,11,4,96,92,80,117,5,6,0.213978495,0.287524366,0.290322581,0.577846947
83,Al Bridwell,1882,1915,1253,4169,1064,95,32,2,557,285,348,457,136,25,0.255217078,0.342996191,0.294794915,0.637791106
84,Al Bumbry,1949,1985,1496,5053,1422,220,52,54,471,709,402,778,254,92,0.28141698,0.342686459,0.377597467,0.720283926
85,Al Burch,1883,1911,614,2185,554,48,20,4,186,202,103,254,96,14,0.253546911,0.312104597,0.299313501,0.611418098
86,Al Chambers,1960,1985,57,120,25,4,0,2,21,34,11,15,2,2,0.208333333,0.326241135,0.291666667,0.617907801
87,Al Cihocki,1922,1945,92,283,60,9,3,0,11,48,24,21,2,1,0.212014134,0.241496599,0.265017668,0.506514266
88,Al Cowens,1951,1986,1584,5534,1494,276,68,108,389,659,717,704,120,75,0.269967474,0.31791322,0.402963498,0.720876718
89,Al Cuccinello,1912,1935,54,165,41,7,1,4,1,20,20,27,0,2,0.248484848,0.253012048,0.375757576,0.628769624
90,Al Dwight,1861,1884,12,43,10,2,0,0,2,37,31,8,6,2,0.23255814,0.266666667,0.279069767,0.545736434
91,Al Evans,1917,1951,704,2053,514,70,23,13,243,206,211,188,14,9,0.250365319,0.329703833,0.325864588,0.655568421
92,Al Federoff,1928,1952,76,235,56,4,2,0,16,13,14,14,1,0,0.238297872,0.28685259,0.272340426,0.559193015
93,Al Ferrara,1941,1971,574,1382,358,60,7,51,156,286,198,148,0,1,0.259044863,0.33420026,0.423299566,0.757499826
94,Al Flair,1918,1941,10,30,6,2,1,0,1,1,2,3,1,1,0.2,0.225806452,0.333333333,0.559139785
95,Al Frazier,1915,1940,64,216,54,8,0,0,18,2,25,30,2,5,0.25,0.307692308,0.287037037,0.594729345
96,Al Gallagher,1947,1973,442,1264,333,42,9,11,138,164,130,114,7,6,0.263449367,0.335948645,0.337025316,0.672973961
97,Al Gionfriddo,1921,1947,228,580,154,22,12,2,91,39,58,95,15,9,0.265517241,0.365126677,0.355172414,0.72029909
98,Al Glossop,1919,1946,309,952,199,29,2,15,89,105,86,99,5,11,0.209033613,0.276657061,0.290966387,0.567623447
99,Al Greene,1956,1979,29,59,8,1,0,3,10,15,6,9,0,1,0.13559322,0.260869565,0.305084746,0.565954311
100,Al Hall,1856,1880,70,314,80,7,3,0,3,13,14,31,11,5,0.25477707,0.261829653,0.296178344,0.558007997
101,Al Halt,1893,1918,257,854,204,30,9,6,61,130,90,76,35,7,0.238875878,0.289617486,0.316159251,0.605776737
102,Al Heist,1937,1962,177,495,126,20,6,8,52,72,46,63,6,4,0.254545455,0.325411335,0.367676768,0.693088102
103,Al Hermann,1900,1924,32,94,22,4,0,0,0,8,11,2,3,2,0.234042553,0.234042553,0.276595745,0.510638298
104,Al Kaiser,1889,1914,155,481,104,15,7,3,34,82,38,58,16,7,0.216216216,0.267961165,0.295218295,0.56317946
105,Al Kaline,1930,1974,2834,10116,3007,498,75,399,1277,1020,1583,1622,137,65,0.297251878,0.376020363,0.47963622,0.855656583
106,Al Kozar,1925,1950,285,992,252,41,10,6,96,86,94,118,6,3,0.254032258,0.319852941,0.333669355,0.653522296
107,Al Lakeman,1923,1954,239,646,131,17,5,15,36,137,66,40,0,18,0.202786378,0.244868035,0.314241486,0.559109521
108,Al Libke,1922,1946,254,880,236,45,6,9,77,112,95,73,6,5,0.268181818,0.327063741,0.363636364,0.690700104
109,Al Lopez,1906,1947,1950,5916,1547,206,43,51,556,538,652,613,46,42,0.261494253,0.324938195,0.336713996,0.661652191
110,Al Luplow,1938,1967,481,1243,292,34,6,33,127,213,125,147,8,11,0.234915527,0.305839416,0.351568785,0.657408201
111,Al Martin,1970,2003,1232,4242,1172,220,48,132,390,879,485,664,173,65,0.276284771,0.337219344,0.444130127,0.781349471
112,Al Maul,1865,1891,205,721,170,19,16,5,85,124,93,88,36,9,0.235783634,0.316377171,0.327323162,0.643700333
113,Al McCauley,1867,1891,171,624,160,30,15,2,87,51,73,99,17,5,0.256410256,0.347398031,0.362179487,0.709577518
114,Al Montgomery,1918,1941,42,52,10,1,0,0,9,8,4,4,0,2,0.192307692,0.31147541,0.211538462,0.523013871
115,Al Moore,1902,1926,30,89,19,4,0,0,6,9,10,12,2,3,0.213483146,0.263157895,0.258426966,0.521584861
116,Al Moran,1940,1964,135,353,69,5,2,1,38,62,27,28,3,7,0.195467422,0.273657289,0.229461756,0.503119045
117,Al Myers,1861,1891,833,3222,788,135,34,13,294,300,390,429,122,18,0.244568591,0.307736064,0.319677219,0.627413283
